id,name,code
0,Visakhapatnam,51
1,Bangalore,5
2,Srinagar,44
3,Varanasi,49
4,Jaipur,18
5,Pune,39
6,Thane,46
7,Chennai,8
8,Nagpur,33
9,Nashik,37
10,Nagpur,33
11,Vadodara,48
12,Kalyan,19
13,Rajkot,40
14,Kalyan,19
15,Srinagar,44
16,Nashik,37
17,Ahmedabad,4
18,Chennai,8
19,Kalyan,19
20,Kolkata,23
21,Kolkata,23
22,Ahmedabad,4
23,Thane,46
24,Bangalore,5
25,Mumbai,32
26,Ahmedabad,4
27,Lucknow,24
28,Indore,17
29,Kalyan,19
30,Surat,45
31,Visakhapatnam,51
32,Jaipur,18
33,Kalyan,19
34,Surat,45
35,Ludhiana,25
36,Bhopal,7
37,Srinagar,44
38,Thane,46
39,Meerut,29
40,Thane,46
41,Agra,3
42,Agra,3
43,Ghaziabad,13
44,Chennai,8
45,Lucknow,24
46,Meerut,29
47,Hyderabad,16
48,Kalyan,19
49,Rajkot,40
50,Kalyan,19
51,Vasai-Virar,50
52,Vadodara,48
53,Srinagar,44
54,Hyderabad,16
55,Srinagar,44
56,Kalyan,19
57,Kalyan,19
58,Pune,39
59,Ludhiana,25
60,Jaipur,18
61,Bhopal,7
62,Kolkata,23
63,Nashik,37
64,Thane,46
65,Ludhiana,25
66,Kanpur,20
67,Mumbai,32
68,Surat,45
69,Agra,3
70,Hyderabad,16
71,Patna,38
72,Bhopal,7
73,Indore,17
74,Kalyan,19
75,Surat,45
76,Ghaziabad,13
77,Surat,45
78,Lucknow,24
79,Rajkot,40
80,Varanasi,49
81,Srinagar,44
82,Ghaziabad,13
83,Kalyan,19
84,Ahmedabad,4
85,Faridabad,11
86,Ludhiana,25
87,Pune,39
88,Hyderabad,16
89,Surat,45
90,Ghaziabad,13
91,Nashik,37
92,Bhopal,7
93,Pune,39
94,Kolkata,23
95,Hyderabad,16
96,Nagpur,33
97,Lucknow,24
98,Kalyan,19
99,Delhi,10
100,Vasai-Virar,50
101,Kolkata,23
102,Kolkata,23
103,Agra,3
104,Visakhapatnam,51
105,Patna,38
106,Delhi,10
107,Lucknow,24
108,Jaipur,18
109,Meerut,29
110,Delhi,10
111,Kolkata,23
112,Mumbai,32
113,Ahmedabad,4
114,Vasai-Virar,50
115,Delhi,10
116,Rajkot,40
117,Bangalore,5
118,Kalyan,19
119,Srinagar,44
120,Ahmedabad,4
121,Chennai,8
122,Nashik,37
123,Vasai-Virar,50
124,Vasai-Virar,50
125,Lucknow,24
126,Visakhapatnam,51
127,Jaipur,18
128,Lucknow,24
129,Pune,39
130,Surat,45
131,Lucknow,24
132,Varanasi,49
133,Thane,46
134,Jaipur,18
135,Mumbai,32
136,Nagpur,33
137,Bhopal,7
138,Pune,39
139,Vadodara,48
140,Surat,45
141,Patna,38
142,Kolkata,23
143,Jaipur,18
144,Nashik,37
145,Agra,3
146,Lucknow,24
147,Srinagar,44
148,Ludhiana,25
149,Thane,46
150,Rajkot,40
151,Patna,38
152,Lucknow,24
153,Mumbai,32
154,Varanasi,49
155,Nagpur,33
156,Lucknow,24
157,Kanpur,20
158,Ludhiana,25
159,Surat,45
160,Bangalore,5
161,Jaipur,18
162,Agra,3
163,Pune,39
164,Meerut,29
165,Ludhiana,25
166,Vasai-Virar,50
167,Pune,39
168,Thane,46
169,Patna,38
170,Visakhapatnam,51
171,Hyderabad,16
172,Ghaziabad,13
173,Srinagar,44
174,Kanpur,20
175,Hyderabad,16
176,Bhopal,7
177,Vasai-Virar,50
178,Vasai-Virar,50
179,Ahmedabad,4
180,Srinagar,44
181,Faridabad,11
182,Patna,38
183,Faridabad,11
184,Nashik,37
185,Pune,39
186,Thane,46
187,Vadodara,48
188,Kolkata,23
189,Ghaziabad,13
190,Kolkata,23
191,Bhopal,7
192,Srinagar,44
193,Kalyan,19
194,Bhopal,7
195,Kanpur,20
196,Pune,39
197,Agra,3
198,Hyderabad,16
199,Agra,3
200,Kolkata,23
201,Kalyan,19
202,Bangalore,5
203,Patna,38
204,Lucknow,24
205,Mumbai,32
206,Chennai,8
207,Kalyan,19
208,Agra,3
209,Jaipur,18
210,Ahmedabad,4
211,Faridabad,11
212,Surat,45
213,Chennai,8
214,Ludhiana,25
215,Indore,17
216,Srinagar,44
217,Nashik,37
218,Patna,38
219,Lucknow,24
220,Srinagar,44
221,Vadodara,48
222,Hyderabad,16
223,Kalyan,19
224,Srinagar,44
225,Vadodara,48
